epoch, loss, training accuracy, test accuracy
0,3.0818935534337184,0.109222025,4.223864836325237
1,2.8836198333260064,0.110161714,4.223864836325237
2,2.911497796332086,0.109965034,4.223864836325237
3,2.8793290798480693,0.11011801,4.223864836325237
4,2.8850785888991988,0.11009616,4.223864836325237
5,2.8793689591067655,0.110161714,4.223864836325237
6,2.879233297934899,0.110161714,4.223864836325237
7,2.879259829754596,0.110161714,4.223864836325237
8,2.8791539508979636,0.110161714,4.223864836325237
9,2.88274408587209,0.110249124,4.223864836325237
10,2.8791232712618955,0.110161714,4.223864836325237
11,2.8789760306164935,0.10954983,4.223864836325237
12,2.8791172721169214,0.110161714,4.223864836325237
13,2.879095949493088,0.109965034,4.223864836325237
14,2.879223859226787,0.11009616,4.223864836325237
15,2.879527061302345,0.110052444,4.223864836325237
16,2.8791700253119834,0.110052444,4.223864836325237
17,2.8794501554715883,0.110052444,4.223864836325237
18,2.879239677549242,0.110052444,4.223864836325237
19,2.8794168739052086,0.11011801,4.223864836325237
20,2.8792881702209687,0.11011801,4.223864836325237
21,2.8791950952756653,0.11011801,4.223864836325237
22,2.8793104525212643,0.11011801,4.223864836325237
23,2.8792582465218497,0.110074304,4.223864836325237
24,2.8790811021844824,0.110074304,4.223864836325237
25,2.8792578963966635,0.11009616,4.223864836325237
26,2.8793813065215423,0.11003059,4.223864836325237
27,2.8793333567105805,0.11003059,4.223864836325237
28,2.8792902012805004,0.11003059,4.223864836325237
29,2.879078344865279,0.11003059,4.223864836325237
30,2.8793669310483065,0.11003059,4.223864836325237
31,2.8793712292517815,0.11013986,4.223864836325237
32,2.879363895963122,0.11013986,4.223864836325237
33,2.879226084355708,0.11013986,4.223864836325237
34,2.87927528161269,0.11013986,4.223864836325237
35,2.8793362510787857,0.11013986,4.223864836325237
36,2.8792104987831384,0.11013986,4.223864836325237
37,2.8794147524800335,0.10983392,4.223864836325237
38,2.8792206337401915,0.11013986,4.223864836325237
39,2.879412773105648,0.11013986,4.223864836325237
40,2.8792093430365715,0.11013986,4.223864836325237
41,2.8793816973279407,0.10920017,4.223864836325237
42,2.8792075060464284,0.11013986,4.223864836325237
43,2.8794957947897744,0.11013986,4.223864836325237
44,2.8793527016272913,0.11013986,4.223864836325237
45,2.879307928952304,0.11013986,4.223864836325237
46,2.8792166509828365,0.11013986,4.223864836325237
47,2.879245015791246,0.11009616,4.223864836325237
48,2.879116968341641,0.110052444,4.223864836325237
49,2.879371739767648,0.110052444,4.223864836325237
50,2.878608104732487,0.11009616,4.223864836325237
51,2.8781292045033062,0.11009616,4.223864836325237
52,2.8779579576078826,0.110052444,4.223864836325237
53,2.877975671608131,0.110052444,4.223864836325237
54,2.8779616312547165,0.11009616,4.223864836325237
55,2.87796648065527,0.11009616,4.223864836325237
56,2.8779598832964064,0.11011801,4.223864836325237
57,2.8780259689251024,0.11013986,4.223864836325237
58,2.877992897767287,0.11009616,4.223864836325237
59,2.8779289178914955,0.11009616,4.223864836325237
60,2.8779258501279603,0.11009616,4.223864836325237
61,2.877933897338547,0.11009616,4.223864836325237
62,2.877940236271678,0.11009616,4.223864836325237
63,2.8779450226496985,0.11009616,4.223864836325237
64,2.8779431153010657,0.11009616,4.223864836325237
65,2.877927196942843,0.11009616,4.223864836325237
66,2.8779585948357216,0.11009616,4.223864836325237
67,2.877871785130534,0.110161714,4.223864836325237
68,2.8779569292401934,0.110074304,4.223864836325237
69,2.877954183258377,0.110074304,4.223864836325237
70,2.877971112978208,0.110074304,4.223864836325237
71,2.878077244258427,0.10998689,4.223864836325237
72,2.878049206566977,0.10998689,4.223864836325237
73,2.8779096776788884,0.110161714,4.223864836325237
74,2.87789323713396,0.110161714,4.223864836325237
75,2.877898695085432,0.110161714,4.223864836325237
76,2.8780192645279676,0.11011801,4.223864836325237
77,2.8780338537442933,0.11011801,4.223864836325237
78,2.877996857849868,0.11011801,4.223864836325237
79,2.8780340638194053,0.11011801,4.223864836325237
80,2.8780222475945534,0.11011801,4.223864836325237
81,2.87803271667107,0.11011801,4.223864836325237
82,2.878006558985143,0.11011801,4.223864836325237
83,2.878003587255945,0.11011801,4.223864836325237
84,2.878018139125584,0.11011801,4.223864836325237
85,2.877910157850572,0.11009616,4.223864836325237
86,2.877975303476507,0.11013986,4.223864836325237
87,2.8779752881376894,0.11013986,4.223864836325237
88,2.877997091266659,0.11013986,4.223864836325237
89,2.87804522214236,0.110052444,4.223864836325237
90,2.8780255237659373,0.110052444,4.223864836325237
91,2.878034067153931,0.110052444,4.223864836325237
92,2.8779076716282983,0.11009616,4.223864836325237
93,2.8778900086462915,0.11009616,4.223864836325237
94,2.8778873406923733,0.11009616,4.223864836325237
95,2.8779095733082376,0.11009616,4.223864836325237
96,2.877929956929667,0.11011801,4.223864836325237
97,2.877918905978436,0.11011801,4.223864836325237
98,2.8778983206182094,0.11011801,4.223864836325237
99,2.8779944189778575,0.11011801,4.223864836325237
100,2.8778086652288906,0.11011801,4.223864836325237
101,2.8777660219819396,0.11009616,4.223864836325237
102,2.877764961269352,0.11009616,4.223864836325237
103,2.877762748144723,0.11009616,4.223864836325237
104,2.877761953527277,0.11009616,4.223864836325237
105,2.8777593616005426,0.11009616,4.223864836325237
106,2.8777615267080026,0.11009616,4.223864836325237
107,2.8777752002636037,0.11013986,4.223864836325237
108,2.877643856302008,0.11011801,4.223864836325237
109,2.8776430113332254,0.11011801,4.223864836325237
110,2.8776424958155706,0.11011801,4.223864836325237
111,2.877642892624115,0.11011801,4.223864836325237
112,2.8776423597669267,0.11011801,4.223864836325237
113,2.8777903116666352,0.110074304,4.223864836325237
114,2.8777343709985694,0.11009616,4.223864836325237
115,2.8777335640433783,0.11009616,4.223864836325237
116,2.87773165336022,0.11009616,4.223864836325237
117,2.877732464650294,0.11009616,4.223864836325237
118,2.877731932126559,0.11009616,4.223864836325237
119,2.877732152205247,0.11009616,4.223864836325237
120,2.8778080790192933,0.11009616,4.223864836325237
121,2.8778210963402593,0.11013986,4.223864836325237
122,2.877820730876256,0.11013986,4.223864836325237
123,2.8778227202542177,0.11013986,4.223864836325237
124,2.877869553666015,0.11009616,4.223864836325237
125,2.877871256941682,0.11009616,4.223864836325237
126,2.877870503005448,0.11009616,4.223864836325237
127,2.877870842793605,0.11009616,4.223864836325237
128,2.8778726234302656,0.11009616,4.223864836325237
129,2.877753492168613,0.11011801,4.223864836325237
130,2.8777460335017917,0.11009616,4.223864836325237
131,2.8776915043384044,0.11009616,4.223864836325237
132,2.8778259457408133,0.11009616,4.223864836325237
133,2.8778266006416375,0.11009616,4.223864836325237
134,2.8778330669536456,0.110052444,4.223864836325237
135,2.8778350193183737,0.110052444,4.223864836325237
136,2.8778339742780563,0.110052444,4.223864836325237
137,2.8778351426958206,0.110052444,4.223864836325237
138,2.8778268970809617,0.110074304,4.223864836325237
139,2.8778046327871043,0.110074304,4.223864836325237
140,2.8778791250882447,0.110074304,4.223864836325237
141,2.8778794855504604,0.110074304,4.223864836325237
142,2.8777080092396767,0.11013986,4.223864836325237
143,2.87789497342143,0.110052444,4.223864836325237
144,2.877896917116392,0.110052444,4.223864836325237
145,2.8778929870445413,0.110052444,4.223864836325237
146,2.877895837730461,0.110052444,4.223864836325237
147,2.877776832513876,0.11011801,4.223864836325237
148,2.8778031812681184,0.11000874,4.223864836325237
149,2.877803467703866,0.11000874,4.223864836325237
150,2.8778388656936325,0.11013986,4.223864836325237
151,2.877838728644631,0.11013986,4.223864836325237
152,2.877838700301164,0.11013986,4.223864836325237
153,2.8777706916515644,0.11011801,4.223864836325237
154,2.8777175953338197,0.11011801,4.223864836325237
155,2.877717322569627,0.11011801,4.223864836325237
156,2.877717542981768,0.11011801,4.223864836325237
157,2.8777753919988247,0.11011801,4.223864836325237
158,2.8777755533898626,0.11011801,4.223864836325237
159,2.877775417341219,0.11011801,4.223864836325237
160,2.8777753716582186,0.11011801,4.223864836325237
161,2.8776785620442635,0.11009616,4.223864836325237
162,2.8777869914795136,0.11011801,4.223864836325237
163,2.8778414136046298,0.110052444,4.223864836325237
164,2.8778413652540085,0.110052444,4.223864836325237
165,2.877841252547044,0.110052444,4.223864836325237
166,2.877814814427516,0.110074304,4.223864836325237
167,2.877809348473182,0.110074304,4.223864836325237
168,2.8778092501046775,0.110074304,4.223864836325237
169,2.8778094351708474,0.110074304,4.223864836325237
170,2.877746363953277,0.11011801,4.223864836325237
171,2.8777463212713497,0.11011801,4.223864836325237
172,2.877746230572254,0.11011801,4.223864836325237
173,2.8777462762552544,0.11011801,4.223864836325237
174,2.8777463462802912,0.11011801,4.223864836325237
175,2.8777463249393276,0.11011801,4.223864836325237
176,2.877746279256327,0.11011801,4.223864836325237
177,2.877746201561881,0.11011801,4.223864836325237
178,2.877746341945408,0.11011801,4.223864836325237
179,2.877746324605875,0.11011801,4.223864836325237
180,2.8777462602495314,0.11011801,4.223864836325237
181,2.877746452318205,0.11011801,4.223864836325237
182,2.877746339277788,0.11011801,4.223864836325237
183,2.8777462088978374,0.11011801,4.223864836325237
184,2.8777463576176783,0.11011801,4.223864836325237
185,2.8777462088978374,0.11011801,4.223864836325237
186,2.877746248578692,0.11011801,4.223864836325237
187,2.8777462072305746,0.11011801,4.223864836325237
188,2.877746350948627,0.11011801,4.223864836325237
189,2.8777462675854877,0.11011801,4.223864836325237
190,2.8777464916656066,0.11011801,4.223864836325237
191,2.8777463756241164,0.11011801,4.223864836325237
192,2.877746136538632,0.11011801,4.223864836325237
193,2.8777462322395166,0.11011801,4.223864836325237
194,2.8777462118989106,0.11011801,4.223864836325237
195,2.8777462842581154,0.11011801,4.223864836325237
196,2.8777463029314587,0.11011801,4.223864836325237
197,2.8777463516155324,0.11011801,4.223864836325237
198,2.877746178220202,0.11011801,4.223864836325237
199,2.8777462072305746,0.11011801,4.223864836325237
